nrg_bal,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	TARGET 
FEC2020-2030,I05,AL	101.33 	74.67 	53.77 	49.40 	49.35 	49.91 	53.95 	43.47 	48.48 	79.71 	80.57 	82.62 	94.61 	92.58 	103.77 	100.00 	91.09 	88.99 	92.95 	97.84 	100.74 	103.83 	95.26 	104.32 	108.71 	103.38 	100.28 	109.36 	111.79 	: 
FEC2020-2030,I05,AT	69.38 	74.77 	72.70 	74.13 	72.95 	76.69 	82.62 	81.26 	83.55 	84.31 	85.15 	90.28 	91.01 	95.64 	97.05 	100.00 	100.06 	99.05 	99.65 	94.79 	100.66 	97.63 	97.63 	100.29 	96.21 	98.70 	100.88 	102.66 	100.14 	: 
FEC2020-2030,I05,BE	86.66 	90.87 	90.76 	89.46 	92.15 	94.05 	100.12 	99.00 	101.57 	101.41 	103.05 	105.49 	99.43 	102.89 	103.35 	100.00 	100.26 	97.17 	101.10 	95.12 	103.06 	95.66 	95.83 	99.90 	93.61 	98.16 	99.53 	98.63 	99.27 	: 
FEC2020-2030,I05,BG	159.73 	120.94 	107.79 	106.22 	106.93 	112.85 	114.25 	105.59 	101.74 	90.26 	89.46 	89.64 	89.47 	96.22 	95.16 	100.00 	103.70 	101.94 	98.39 	84.75 	87.09 	91.26 	90.94 	86.56 	88.64 	93.61 	95.18 	97.58 	97.79 	: 
FEC2020-2030,I05,CY	60.07 	70.22 	71.94 	71.24 	73.78 	77.74 	80.59 	80.67 	84.49 	86.87 	89.95 	93.18 	93.92 	99.39 	100.03 	100.00 	101.70 	105.13 	107.51 	105.83 	105.24 	104.90 	96.56 	88.33 	88.37 	91.02 	96.38 	101.70 	101.41 	: 
FEC2020-2030,I05,CZ	124.69 	111.61 	110.58 	107.56 	101.45 	100.29 	101.79 	100.83 	97.04 	92.63 	95.81 	97.51 	95.62 	100.27 	101.35 	100.00 	101.50 	99.74 	99.17 	95.39 	96.58 	93.53 	93.37 	92.60 	90.18 	92.54 	94.93 	97.51 	96.83 	: 
FEC2020-2030,I05,DE	104.46 	103.66 	100.65 	101.17 	99.34 	100.85 	105.18 	103.35 	102.80 	100.97 	100.19 	101.85 	100.22 	102.16 	101.44 	100.00 	102.58 	96.94 	100.93 	94.80 	101.52 	96.36 	98.21 	100.58 	95.56 	96.82 	98.70 	99.50 	98.01 	: 
FEC2020-2030,I05,DK	86.83 	91.72 	90.50 	93.52 	93.69 	95.62 	99.51 	97.28 	97.10 	96.84 	94.97 	97.59 	95.45 	97.61 	99.12 	100.00 	101.05 	101.41 	100.16 	95.44 	100.13 	95.49 	92.21 	91.12 	88.14 	91.69 	94.40 	95.75 	96.52 	: 
FEC2020-2030,I05,EA19	86.08 	88.03 	86.48 	86.30 	85.87 	87.59 	91.24 	90.79 	92.65 	93.25 	94.08 	96.59 	95.83 	98.69 	99.64 	100.00 	100.22 	98.35 	99.27 	93.65 	97.63 	93.23 	93.22 	93.49 	89.13 	90.94 	92.37 	93.00 	92.91 	: 
FEC2020-2030,I05,EE	189.12 	178.75 	118.78 	101.83 	98.75 	88.38 	103.46 	101.12 	92.57 	84.43 	84.29 	92.45 	90.99 	95.55 	97.88 	100.00 	100.66 	108.01 	107.95 	96.17 	101.22 	99.06 	100.71 	100.58 	98.18 	96.95 	98.52 	99.56 	102.72 	: 
FEC2020-2030,I05,EL	69.92 	71.41 	71.84 	72.04 	73.52 	75.31 	80.59 	83.00 	87.28 	86.99 	89.19 	92.07 	93.77 	98.73 	97.67 	100.00 	102.82 	105.01 	101.88 	97.82 	90.48 	89.89 	81.00 	72.98 	74.12 	78.80 	79.72 	79.68 	75.88 	: 
FEC2020-2030,I05,ES	58.41 	60.94 	61.89 	61.21 	64.09 	65.44 	67.04 	70.01 	73.75 	76.42 	81.58 	85.67 	87.02 	92.49 	96.90 	100.00 	97.68 	100.32 	96.68 	89.49 	90.83 	88.17 	84.45 	82.31 	80.74 	81.92 	83.84 	86.21 	88.54 	: 
FEC2020-2030,I05,EU27_2020	91.48 	91.48 	88.99 	89.10 	88.52 	90.31 	94.18 	93.36 	94.04 	93.80 	94.16 	96.42 	95.67 	98.55 	99.57 	100.00 	100.51 	98.83 	99.59 	94.21 	98.35 	94.36 	94.15 	94.02 	90.07 	91.99 	93.80 	95.05 	95.07 	: 
FEC2020-2030,I05,EU28	91.18 	91.62 	89.27 	89.59 	89.11 	90.67 	94.71 	93.75 	94.46 	94.50 	94.93 	96.99 	95.98 	98.64 	99.65 	100.00 	100.27 	98.62 	99.25 	93.70 	97.73 	93.33 	93.46 	93.44 	89.43 	91.31 	92.98 	94.07 	94.17 	: 
FEC2020-2030,I05,FI	85.93 	84.04 	83.78 	84.03 	88.75 	87.20 	89.74 	92.57 	96.01 	96.58 	96.60 	98.59 	101.03 	102.60 	103.67 	100.00 	105.12 	105.26 	101.85 	94.67 	104.15 	99.25 	99.85 	97.87 	97.25 	96.01 	99.86 	100.19 	102.45 	: 
FEC2020-2030,I05,FR	85.09 	90.49 	90.92 	90.02 	88.56 	89.67 	93.79 	92.38 	95.86 	96.63 	97.04 	100.60 	97.95 	99.21 	100.45 	100.00 	98.50 	96.06 	97.31 	93.37 	96.14 	92.20 	94.95 	96.60 	90.07 	92.06 	93.24 	92.71 	91.54 	: 
